time,bit_size,delta_scale,delta_location,function,round,entropy,min_entropy,kl_divergence,statistical_distance
25625.72s,32,444592,-2986,rot_4,3,14.617323,11.933972,0.5,0.03125
25951.46s,32,444592,-2986,rot_27,8,15.999999,16,0,0.0000000004656613
26246.19s,32,444592,-2986,rot_28,1,6.407681,4.4212637,9.209401,0.46799088
26489.83s,32,444592,-2986,rot_4,4,15.812246,14.727675,0.015625,0.00390625
26627.93s,32,444592,-2986,rot_19,4,15.999999,16,0,0.00000000011641532
27175.58s,32,444592,-2986,rot_28,2,13.622233,11.329251,0.5,0.0625
27359.28s,32,444592,-2986,rot_4,5,16.002136,15.977311,0.00012207031,0.000061035156
27860.30s,32,444592,-2986,rot_19,5,15.999999,16,0,0.0000000004656613
28113.87s,32,444592,-2986,rot_28,3,15.999448,15.961227,0.00001859665,0.000061035156
28207.17s,32,444592,-2986,rot_4,6,16,16,0,0.0000000004656613
29062.49s,32,444592,-2986,rot_19,6,15.999999,16,0,0.0000000004656613
29075.40s,32,444592,-2986,rot_28,4,15.999999,16,0,0.00000000011641532
29076.33s,32,444592,-2986,rot_4,7,16,16,0,0.0000000004656613
29933.98s,32,444592,-2986,rot_4,8,15.999999,16,0,0.0000000004656613
29993.67s,32,444592,-2986,rot_28,5,15.999999,16,0,0.0000000004656613
30227.17s,32,444592,-2986,rot_5,1,6.407681,4.4212637,9.209401,0.46799088
30285.56s,32,444592,-2986,rot_19,7,15.999999,16,0,0.0000000004656613
30932.37s,32,444592,-2986,rot_28,6,15.999999,16,0,0.0000000004656613
31103.15s,32,444592,-2986,rot_5,2,11.95207,9.327547,3,0.25
31511.30s,32,444592,-2986,rot_19,8,15.999999,16,0,0.0000000004656613
31807.05s,32,444592,-2986,rot_20,1,6.407681,4.4212637,9.209401,0.46799088
31871.49s,32,444592,-2986,rot_28,7,15.999999,16,0,0.0000000004656613
31982.25s,32,444592,-2986,rot_5,3,15.473539,13.717689,0.0625,0.0078125
32802.08s,32,444592,-2986,rot_28,8,15.999999,16,0,0.0000000004656613
32850.05s,32,444592,-2986,rot_5,4,15.9924345,15.966304,0.00024414063,0.000061035156
33009.35s,32,444592,-2986,rot_20,2,16,15.999999,0.00000011180532,0.00000011920929
33096.20s,32,444592,-2986,rot_29,1,6.407681,4.4212637,9.209401,0.46799088
33739.61s,32,444592,-2986,rot_5,5,16,16,0,0.0000000004656613
